場址名稱,場址種類,場址地址,場址地號,場址面積,場址列管狀態,土壤污染物,地下水污染物,經度,緯度
(H00001)台灣美國無線電公司(RCA)原桃園廠,工廠,桃園市桃園區龍岡里美龍街一號,桃園市桃園區龍鳳段五六七、五六七之三、五六七之四、六二七、六二七之二、五六六、五六六之五、五六六之六、五六六之七、五六六之八、二二六、二二六之三、二二六之四、五六四、五六四之四、五六四之五、五六四之六、五六五、五六五之五、五六五之六、五六五之七、五六五之八、二二七、二二七之三、二二七之四、二二七之五、二二七之六、五七一、五七一之二、五七九、五七九之二、五八二、五八三、二二五、二二五之五、二二五之六、二二五之七、二二五之八、二二五之九、五八○、五八○之二、五八一、五七二之二、五七二之三、五七三、五七三之一、六○○、六○一、五六九、五六八、五六八之二、五七○、五七○之二、五九九、五九九之二、五八四、五九八、五九八之二、五八五、一三○○、五八六、一二九四、五八七、五八七之二、二一一、二一一之三、二一一之四、二一二、一二六、一三○、一二九、一三五、一三四之三、一三四之四、二一七、二一七之二、二一四、二一三、二一六、二一六之二、二一五、二二二、二二二之二、一二七、二○九、二○九之四、二○九之五、二○九之六、二○九之七、二一○、二一○之四、二一○之五、二一○之六、二一○之七、一三七、一三七之三、一三七之四、一三七之五、一三七之六、一二八、一三六、一三六之六、一三六之七、一三六之八、一三六之九、一三六之一○、一三六之一一、一九八、一九八之二、一九八之三、一九八之四、二○六、二○六之二、二○六之三、一三八、一三八之六、一三八之七、一三八之八、一三八之九、一三八之一○、一三八之一一、一三八之一二、一三八之一三、一三九、一三九之三、一三九之四、一三九之五、二○七、二○七之六、二○七之七、二○七之八、二○七之九、二○七之一○、二○七之一一、二○八、二○八之四、二○八之五、二○八之六、二○八之七、五七六、五七六之二、五七六之三、一九○、一九六、一九四、一九四之四、一九四之五、一九四之六、一九四之七、一九四之八、一九四之九、一九四之一○、一九五、一九五之三、一九五之四、一九五之五、一九三、一九三之三、一九三之四、一九三之五、六六七、六六八、六六九、六六九之二、六七二、六七二之二、六七三、六六六、五九二、五九二之二、五九六、五九七、五九四、五九五、五九三、六○八、六○八之二、六○三、六○三之三、六○三之四、六二一、六二一之三、六二一之四、六二二、六二二之三、六二二之四、六一三、六一一、六一一之二、六一九、六一九之二、六○七、六○七之四、六○七之五、六○七之六、六○四、六○五、六○五之二、六○六、六一五、六一五之二、六一四、六一八、六一八之二、六一七、六二五、六二三、六二三之二、六二○、六二○之二、六二四、六二四之二、六○二、六一二、六一二之二、六二八、六二九、六二九之六、六二九之七、六二九之八、六二九之九、六二九之一○、六三○、六三○之三、六三○之四、六七七、六三七、六三七之四、六三七之五、六三七之六、六四六、六四七、六七五、六七五之二、六三五、六四三、六四三之三、六四三之四、六四二、六四六、六三六、六四五、六三一、六三一之二、六三九、六三九之三、六三九之四、六四○、六四○之二、五七二、一三四、桃園區龍安段一九二、八德區茄明段二五七、二五八、二五九、二五九之一、二五九之二、二六○、二六○之一、二六○之二、二六○之三、二六二、二六二之一、二六二之二、二六二之三、二六三、二六三之一、二六四、二六四之四、二六四之五、二六四之六、二六五、二六五之七、二六五之八、二六五之九、二六六、二六六之一、二六六之二地號,"80,818平方公尺",公告為整治場址,-無資料-,"1,1-二氯乙烯:0.162(mg/L);四氯乙烯:1.53(mg/L);三氯乙烯:0.252(mg/L);氯乙烯:0.052(mg/L)",121.27820239007,24.986002702546
(H00002)士香加油站股份有限公司,加油站,桃園市大溪區員林路一段226號,桃園市大溪區仁善段1482地號,"1,241平方公尺",公告解除控制場址,苯:135(mg/Kg),苯:24(mg/L);甲苯:29.8(mg/L),121.27720774386,24.895675557997
(H00003)桃鶯加油站有限公司所屬桃鶯加油站,加油站,桃園市桃園區桃鶯路402號,桃園市桃園區桃鶯段533地號,"1,650平方公尺",公告解除控制場址,苯;甲苯;二甲苯;乙苯;總石油碳氫化合物,-無資料-,121.3234437416,24.975474525369
(H00004)桃園縣加得滿股份有限公司龍潭交流道加油站,加油站,桃園市龍潭區中正路605號,桃園市龍潭區大湖段774、775、776地號,"1,241平方公尺",公告解除控制場址,-無資料-,苯:5.25(mg/L);甲苯:33.9(mg/L),121.21909621481,24.857753230055
(H00005)桃園縣蘆竹鄉中興段1238地號,農地,桃園市蘆竹區中興段1238地號,桃園市蘆竹區中興段1238地號,"3,172平方公尺",公告解除控制場址,銅:153.82(mg/Kg),-無資料-,121.25076065365,25.008938286149
(H00006)桃園縣蘆竹鄉中興段1238-1地號,農地,桃園市蘆竹區中興段1238-1地號,桃園市蘆竹區中興段1238-1地號,"1,000平方公尺",公告解除控制場址,銅:179.32(mg/Kg),-無資料-,121.25076032369,25.008775777017
(H00007)桃園縣蘆竹鄉中興段1299地號(部分區域),農地,桃園市蘆竹區中興段1299地號,桃園市蘆竹區中興段1299地號(部分區域),969平方公尺,公告解除控制場址,銅:2530(mg/Kg),-無資料-,121.24990694638,25.008118146277
(H00008)桃園縣蘆竹鄉中興段1301地號,農地,桃園市蘆竹區中興段1301地號,桃園市蘆竹區中興段1301地號,"2,290平方公尺",公告解除控制場址,銅:367(mg/Kg),-無資料-,121.24982949496,25.009012079759
(H00009)桃園縣平鎮市新光段690地號,農地,桃園市平鎮區新光段690地號,桃園市平鎮區新光段690地號,831平方公尺,公告解除控制場址,銅:136(mg/Kg);鎳:228(mg/Kg),-無資料-,121.20230559046,24.931864566228
(H00010)桃園市平鎮區鎮安段913(原為平鎮段556地號),農地,桃園市平鎮區鎮安段913(原為平鎮段556地號),桃園市平鎮區鎮安段913(原為平鎮段556地號),"3,500平方公尺",公告解除控制場址,鉛:495.24(mg/Kg);鋅:657.07(mg/Kg),-無資料-,121.20444834764,24.928322498069
