場址名稱,場址種類,場址地址,場址地號,場址面積,場址列管狀態,土壤污染物,地下水污染物,經度,緯度
(F00001)台北縣泰山鄉泰山段三小段462地號,農地,,新北市泰山區泰山段三小段462地號,"1,478平方公尺",公告撤銷,鋅:603(mg/Kg);銅:234(mg/Kg),-無資料-,121.4295680441,25.039459895291
(F00002)台北縣泰山鄉泰山段二小段740地號,農地,,新北市泰山區泰山段二小段七四○地號,300平方公尺,公告撤銷,銅:200(mg/Kg),-無資料-,121.43556816738,25.040778596644
(F00003)台北縣泰山鄉泰山段二小段586地號,農地,,新北市泰山區泰山段二小段五八六地號,"1,708平方公尺",公告撤銷,銅:303(mg/Kg),-無資料-,121.43226532406,25.048453151969
(F00004)台北縣泰山鄉泰山段二小段733地號,農地,,新北市泰山區泰山段二小段七三三地號,970平方公尺,公告撤銷,銅:263(mg/Kg),-無資料-,121.43649892737,25.040559189333
(F00005)台北縣泰山鄉泰山段二小段738地號,農地,,新北市泰山區泰山段二小段七三八地號,"1,380平方公尺",公告解除控制場址,銅:546(mg/Kg),-無資料-,121.43568657538,25.040633798858
(F00006)台北縣泰山鄉泰山段三小段686地號,農地,,新北市泰山區泰山段三小段六八六地號,"2,075平方公尺",公告撤銷,銅:212(mg/Kg),-無資料-,121.4239131267,25.034745370463
(F00007)台北縣泰山鄉泰山段三小段463地號,農地,,新北市泰山區泰山段三小段四六三地號,"1,959平方公尺",公告撤銷,銅:232(mg/Kg);鋅:614(mg/Kg),-無資料-,121.42940970793,25.039523550143
(F00008)台北縣泰山鄉泰山段三小段464-2地號,農地,,新北市泰山區泰山段三小段四六四之二地號,482平方公尺,公告撤銷,銅:234(mg/Kg),-無資料-,121.42928103806,25.039569062782
(F00009)台北縣新莊市海山頭段三角子小段92-5號,農地,,新北市新莊區海山頭段三角子小段92-5號,"2,242平方公尺",公告撤銷,銅:255(mg/Kg),-無資料-,121.43728396796,25.038372065166
(F00010)台北縣新莊市海山頭段三角子小段92-8號,農地,,新北市新莊區海山頭段三角子小段九二之八地號,"1,039平方公尺",公告解除控制場址,銅:653(mg/Kg);鋅:871(mg/Kg),-無資料-,121.43362281848,25.039926610739
(F00011)台北縣新莊市海山頭段三角子小段92-10號,農地,,新北市新莊區海山頭段三角子小段九二之一○地號,631平方公尺,公告解除控制場址,銅:654(mg/Kg);鋅:872(mg/Kg),-無資料-,121.43448175823,25.039012256771
(F00012)台北縣新莊市海山頭段三角子小段92-15號,農地,,新北市新莊區海山頭段三角子小段九二之一五地號,"10,989平方公尺",公告解除控制場址,銅:653(mg/Kg);鋅:871(mg/Kg),-無資料-,121.43663948806,25.038274650493
(F00013)台北縣新莊市海山頭段三角子小段92-16號,農地,,新北市新莊區海山頭段三角子小段九二之一六地號,"11,982平方公尺",公告解除控制場址,銅:654(mg/Kg);鋅:872(mg/Kg),-無資料-,121.43656887413,25.037922759454
(F00014)山隆通運股份有限公司樹林加油站,加油站,新北市樹林區中華路66號,新北市樹林區大同段五四○地號,"1,311平方公尺",公告解除控制場址,總石油碳氫化合物:2297(mg/Kg),-無資料-,121.4202350859,24.981859501999
(F00015)台亞石油股份有限公司新莊加油站,加油站,新北市新莊區思源路89號,新北市新莊區鴻福段283、283-1、283-2、284號,"1,311平方公尺",公告解除整治場址,-無資料-,苯:15.1(mg/L);甲苯:17.1(mg/L);萘:1.12(mg/L),121.45959265385,25.041518761307
(F00018)原正泰化工股份有限公司(部分場址),工廠,新北市新莊區新北市新莊區新樹路三○二巷及民安西路四八○巷,新北市新莊區光華段六五七之二地號;新北市新莊區光華段六五七之三地號;新北市新莊區光華段六五七之六地號;新北市新莊區光華段六五七之七地號;新北市新莊區光華段六五七之八地號;新北市新莊區光華段六五七之九地號;新北市新莊區光華段六五七之一一地號;新北市新莊區光華段六五七之一二地號;新北市新莊區光華段六五七之一三地號;新北市新莊區光華段六五七之一四地號;新北市新莊區光華段六五七之一五地號;新北市新莊區光華段六五七之一六地號;新北市新莊區光華段六五七之一七地號;新北市新莊區光華段六五七之一九地號;新北市新莊區光華段六五七之二二地號;新北市新莊區光華段六五七之二三地號;新北市新莊區光華段六五七之二四地號;新北市新莊區光華段六五七之二六地號;新北市新莊區光華段六五七之二七地號;新北市新莊區光華段六五七之二九地號;新北市新莊區光華段六五七之三○地號;新北市新莊區光華段六五七之三一地號;新北市新莊區光華段六五七之三二地號;新北市新莊區光華段六五七之三四地號;新北市新莊區光華段六五七之三五地號;新北市新莊區光華段六五七之三六地號;新北市新莊區光華段六五七之三七地號;新北市新莊區光華段六五七之三八地號;新北市新莊區光華段六五七之四○地號;新北市新莊區光華段六五七之四一地號;新北市新莊區光華段六五七之四二地號;新北市新莊區光華段六五七之四三地號;新北市新莊區光華段六五七之四四地號;新北市新莊區光華段六五七之四五地號;新北市新莊區光華段六五七之四六地號;新北市新莊區光華段六五七之四七地號;新北市新莊區光華段六五七之四八地號;新北市新莊區光華段六五七地號,"1,729平方公尺",公告為控制場址,汞:4830(mg/Kg),汞:0.196(mg/L),121.43166359982,25.006771778394
(F10002)新北市淡水鎮林子段231、231-2地號,其他,新北市淡水區崁頂里70-2號,新北市淡水區林子段二三一地號;新北市淡水區林子段二三一之二地號,999平方公尺,公告解除劃定地下水受污染使用限制地區及限制事項,-無資料-,四氯乙烯:0.05(mg/L),121.43796562781,25.201922514468
