場址名稱,場址種類,場址地址,場址地號,場址面積,場址列管狀態,土壤污染物,地下水污染物,經度,緯度
(T00001)屏東縣九如鄉彭厝段1425地號,農地,,屏東縣九如鄉彭厝段1425地號,"69,624平方公尺",公告解除控制場址,鉻,-無資料-,120.52975783474,22.725228758859
(T00002)山隆通運股份有限公司山隆東港加油站,加油站,屏東縣東港鎮船頭路75之49號,屏東縣東港鎮船頭段921地號;,"1,739平方公尺",公告解除控制場址,總石油碳氫化合物,苯;萘,120.47093074144,22.459969206801
(T00003)屏東縣新埤鄉萬隆段6、12至25、27、47、73、98至104、109、118、120至131、142、185、216至223地號及潮州鎮崙新段202、228、235地號、共計52筆地號,其他,,屏東縣新埤鄉萬隆段六、一二至二五、二七、四七、七三、九八至一○四、一○九、一一八、一二○至一三一、一四二、一八五、二一六至二二三地號;屏東縣潮州鎮崙新段二○二、二二八、二三五地號,"704,031平方公尺",公告地下水受污染使用限制地區及限制事項,-無資料-,"1,1-二氯乙烯:0.202(mg/L)",120.59351327446,22.516715109714
(T00004)屏東縣新園鄉新洋段325、416、419、428、429、430、431、432-6(部分)地號,非法棄置場址,屏東縣新園鄉新洋段325、416、419、428、429、430、431、432-6(部分)地號,屏東縣新園鄉新洋段325、416、419、428、429、430、431、432-6(部分)地號,"47,720平方公尺",公告解除整治場址,砷:86.8(mg/Kg);鉻:3250(mg/Kg);銅:7350(mg/Kg);鉛:6340(mg/Kg);鋅:13000(mg/Kg);汞:58.1(mg/Kg);鎳:1630(mg/Kg),-無資料-,120.45845088433,22.558329628049
(T00005)屏東縣萬丹鄉新安段1438及1439地號,非法棄置場址,,屏東縣萬丹鄉新安段一四三八地號;屏東縣萬丹鄉新安段一四三九地號,"5,857平方公尺",公告為整治場址,鎘:35.1(mg/Kg);鉻:21100(mg/Kg);銅:9080(mg/Kg);鉛:1170(mg/Kg);鋅:26300(mg/Kg);鎳:12100(mg/Kg),-無資料-,120.48957690943,22.60800235103
(T10006)屏東縣高樹鄉新日段1948地號,非法棄置場址,,屏東縣高樹鄉新日段一九四八地號,"3,700平方公尺",公告為控制場址,汞:41.1(mg/Kg),-無資料-,120.54959859665,22.78444677487
(T10008)(T004)屏東縣長治鄉興華段922部分地號,非法棄置場址,,屏東縣長治鄉興華段九二二地號,"5,618平方公尺",公告為控制場址,鉻:677(mg/Kg);銅:297(mg/Kg);鉛:987(mg/Kg);鋅:1250(mg/Kg);鎳:355(mg/Kg),-無資料-,120.55608566541,22.681684870592
(T10014)屏東縣長治鄉榮興段161地號,非法棄置場址,屏東縣長治鄉長興段1357-13號(現為榮興段161地號),長治鄉長興段1357-13號(現為榮興段161地號),"2,501平方公尺",公告解除控制場址,-無資料-,苯,120.5628074862,22.673431045962
(T10030)屏東縣佳冬鄉昌北段1188地號,加油站,屏東縣佳冬鄉昌隆村大豐路七八六號,屏東縣佳冬鄉昌北段一一八八地號,720平方公尺,公告為整治場址,苯:25.6(mg/Kg);總石油碳氫化合物:1171(mg/Kg),苯:10.4(mg/L);甲苯:23(mg/L);萘:0.818(mg/L),120.55075659303,22.449310606404
(T10032)屏東縣枋山鄉加祿段883、884地號,加油站,屏東縣枋山鄉加祿村加祿路157號,屏東縣枋山鄉加祿段883、884地號,"1,000平方公尺",公告解除控制場址,總石油碳氫化合物:1190(mg/Kg),-無資料-,120.61569284673,22.334130797191
(T10039)台灣中油公司內埔加油站,加油站,屏東縣內埔鄉東寧村南寧路422號,屏東縣內埔鄉新埔段493、494-1地號,"1,208平方公尺",公告解除控制場址,總石油碳氫化合物,-無資料-,120.55776351442,22.622735534501
(T10040)屏東縣九如鄉九清段1340地號(部分),其他,屏東縣九如鄉大坵村大坵路七二號,屏東縣九如鄉九清段一三四○地號,"1,800平方公尺",公告為整治場址,鉻:566(mg/Kg);鋅:18100(mg/Kg);鎳:288(mg/Kg);總石油碳氫化合物:48550(mg/Kg),-無資料-,120.48033741523,22.742053622435
(T10044)屏東縣麟洛鄉麟信段407地號,工廠,屏東縣麟洛鄉中山路563號,屏東縣麟洛鄉麟信段407地號,"2,188平方公尺",公告解除整治場址,鉛;總石油碳氫化合物,-無資料-,120.52185039013,22.653021586125
(T10046)屏東縣長治鄉進興段686地號,農地,,屏東縣長治鄉進興段686地號,"4,292平方公尺",公告解除控制場址,銅,-無資料-,120.53553033437,22.676280275414
(T10067)(T004)屏東縣長治鄉榮華段1682地號(部分),非法棄置場址,,屏東縣長治鄉榮華段一六八二地號,"4,100平方公尺",公告為控制場址,鎘:8.18(mg/Kg);鉻:1110(mg/Kg);銅:2690(mg/Kg);鉛:2450(mg/Kg);鋅:8630(mg/Kg);鎳:589(mg/Kg),-無資料-,120.55914756655,22.67979683922
(T10100)屏東縣長治鄉榮興段1140地號(部分)、1141地號(部分),非法棄置場址,,屏東縣長治鄉榮興段一一四○地號;屏東縣長治鄉榮興段一一四一地號,"1,007平方公尺",公告為整治場址,鎘:25.6(mg/Kg);鉻:13900(mg/Kg);銅:6640(mg/Kg);鉛:11900(mg/Kg);鋅:20000(mg/Kg);鎳:9740(mg/Kg),-無資料-,120.54983793668,22.669683413326
(T10114)屏東縣屏東市前進段184、185地號,工廠,屏東縣屏東市建國路三一二號,屏東縣屏東市前進段184、185地號,"9,550平方公尺",公告解除控制場址,鎘:22.5(mg/Kg);鉻:439(mg/Kg);銅:1860(mg/Kg);鋅:5170(mg/Kg),-無資料-,120.47015561014,22.663018734867
(T10164)屏東縣潮州鎮中山段885、885-1、886、887(部分)、887-1地號-885-1、886、887-1地號,農地,,屏東縣潮州鎮中山段八八五之一地號;屏東縣潮州鎮中山段八八六地號;屏東縣潮州鎮中山段八八七之一地號,200平方公尺,公告解除控制場址,汞:24.2(mg/Kg),-無資料-,120.5540339608,22.551407324989
(T10274)屏東縣內埔鄉科大段434、435、511地號,工廠,屏東縣內埔鄉聯通街五五○號,屏東縣內埔鄉科大段四三四地號;屏東縣內埔鄉科大段四三五地號;屏東縣內埔鄉科大段五一一地號,"7,042平方公尺",公告為控制場址,銅:20600(mg/Kg);鋅:80900(mg/Kg);鎳:159(mg/Kg);鉛:2670(mg/Kg);鎘:27.8(mg/Kg),-無資料-,120.60403471855,22.654862241892
(T10276)屏東縣內埔鄉新豐段39-6、39-7地號(原為謙有鋼鐵工業股份有限公司內埔廠),工廠,屏東縣內埔鄉豐田村建國路三二號,屏東縣內埔鄉新豐段三九之六地號;屏東縣內埔鄉新豐段三九之七地號,"17,823平方公尺",公告解除控制場址,鎘:70.5(mg/Kg);銅:613(mg/Kg);鉛:5570(mg/Kg),-無資料-,120.54976427739,22.644532071864
(T10305)屏東縣潮州鎮中山段885、885-1、886、887(部分)、887-1地號-885、887(部分)地號,農地,無地址,屏東縣潮州鎮中山段八八五地號;屏東縣潮州鎮中山段八八七(部分)地號,"1,035平方公尺",公告解除控制場址,汞:56(mg/Kg),-無資料-,120.5540339608,22.551407324989
(T10332)屏東縣枋寮鄉屏南段60-1、61、61-1、62-1、89-1、90、91-1、94-2地號,工廠,屏東縣枋寮鄉東海村科技路一之六號,屏東縣枋寮鄉屏南段六○之一地號;屏東縣枋寮鄉屏南段六一之一地號;屏東縣枋寮鄉屏南段六一地號;屏東縣枋寮鄉屏南段六二之一地號;屏東縣枋寮鄉屏南段八九之一地號;屏東縣枋寮鄉屏南段九○地號;屏東縣枋寮鄉屏南段九一之一地號;屏東縣枋寮鄉屏南段九四之二地號,"9,926平方公尺",公告為控制場址,鋅:2220(mg/Kg),-無資料-,120.58313400232,22.412026330151
