場址名稱,場址種類,場址地址,場址地號,場址面積,場址列管狀態,土壤污染物,地下水污染物,經度,緯度
(K00001)苗栗縣竹南鎮成功段284地號,農地,,苗栗縣竹南鎮成功段284地號,"1,739平方公尺",公告解除控制場址,汞:5.97(mg/Kg),-無資料-,120.87093959043,24.679063836572
(K00002)苗栗縣竹南鎮鹽館前段山子坪小段248地號,農地,,苗栗縣竹南鎮鹽館前段山子坪小段248地號,"3,314平方公尺",公告解除控制場址,鋅:150(mg/Kg),-無資料-,120.87203783793,24.677674347859
(K00003)苗栗縣竹南鎮成功段285地號,農地,,苗栗縣竹南鎮成功段285地號,"2,545平方公尺",公告解除控制場址,汞:2.3(mg/Kg),-無資料-,120.87084060034,24.67923529782
(K00004)苗栗縣公館鄉公館段1174地號,農地,,苗栗縣公館鄉公館段1174地號,"1,200平方公尺",公告解除控制場址,汞:10.3(mg/Kg),-無資料-,120.82895228132,24.49115846537
(K00005)苗栗縣竹南鎮公館子段189-5、542、529、476、590地號,其他,,苗栗縣竹南鎮公館子段一八九之五地號;苗栗縣竹南鎮公館子段五四二地號;苗栗縣竹南鎮公館子段五二九地號;苗栗縣竹南鎮公館子段四七六地號;苗栗縣竹南鎮公館子段五九○地號,"10,186平方公尺",公告地下水受污染使用限制地區及限制事項,-無資料-,氯乙烯:42.5(mg/L),120.87225263956,24.660808793156
(K00006)台灣氯乙烯工業股份有限公司頭份廠,工廠,苗栗縣頭份市東庄里自強路二段二一九號,苗栗縣頭份市蘆竹段一六八地號;苗栗縣頭份市蘆竹段一六七地號;苗栗縣頭份市蘆竹段一二六地號;苗栗縣頭份市蘆竹段一三二地號;苗栗縣頭份市蘆竹段一二五地號;苗栗縣頭份市蘆竹段一三一地號;苗栗縣頭份市蘆竹段一二四地號;苗栗縣頭份市蘆竹段一三○地號;苗栗縣頭份市蘆竹段一二三地號;苗栗縣頭份市蘆竹段一二九地號;苗栗縣頭份市蘆竹段一二二地號;苗栗縣頭份市蘆竹段一二八地號;苗栗縣頭份市蘆竹段一二一地號;苗栗縣頭份市蘆竹段一二七地號,"50,000平方公尺",公告為整治場址,-無資料-,"苯:1.31(mg/L);氯甲烷:3.81(mg/L);四氯乙烯:0.0715(mg/L);三氯乙烯:0.792(mg/L);1,2-二氯乙烷:3.02(mg/L);1,1-二氯乙烯:0.818(mg/L);順-1,2-二氯乙烯:8.4(mg/L);反-1,2-二氯乙烯:2.22(mg/L);氯乙烯:48.3(mg/L)",120.88974353782,24.679358710293
(K00007)苗栗縣頭份市永貞段887地號土地,其他,苗栗縣頭份市永貞路一段三三五號,苗栗縣頭份市永貞段八八七地號,"20,182平方公尺",公告為控制場址,-無資料-,"1,1-二氯乙烯:0.0865(mg/L);氯乙烯:3.18(mg/L)",120.88413039589,24.679923296178
(K10008)萬豪企業股份有限公司,工廠,苗栗縣西湖鄉高埔村水甲埔8號,苗栗縣西湖鄉高埔段125-17、125-40號,"26,744平方公尺",公告解除控制場址,鉻:596(mg/Kg);苯:168(mg/Kg);甲苯:1240(mg/Kg);二甲苯:919(mg/Kg);乙苯:353(mg/Kg),-無資料-,120.76306319684,24.506960398212
(K10010)苗栗縣竹南鎮鹽館前段山子坪小段279-3地號土地,工廠,苗栗縣竹南鎮國泰路二二號,苗栗縣竹南鎮鹽館前段山子坪小段二七九之三地號,"32,431平方公尺",公告為整治場址,-無資料-,氯乙烯:0.857(mg/L),120.87774209804,24.674816982638
(K10011)通霄鎮通灣段台1線129公里,其他,苗栗縣通霄鎮通灣段台1線129公里處,通霄鎮通灣段151、338、298地號,"1,737平方公尺",公告解除控制場址,總石油碳氫化合物:3252(mg/Kg),苯:0.217(mg/L);萘:0.45(mg/L),120.69259790792,24.522940879105
