場址名稱,場址種類,場址地址,場址地號,場址面積,場址列管狀態,土壤污染物,地下水污染物,經度,緯度
(C10003)基隆市安樂區大武崙段內寮小段486-84地號,其他,基隆市安樂區基金三路30號,基隆市安樂區大武崙段內寮小段486-84地號,60平方公尺,公告解除控制場址,鉛,-無資料-,121.70039187966,25.151061396404
(C10004)基隆市安樂區大武崙段內寮小段486-2地號,其他,基隆市安樂區基金三路30號,基隆市安樂區大武崙段內寮小段486-2地號,"102,221平方公尺",公告解除控制場址,鉛,-無資料-,121.69372649431,25.154550403251
(C10005)基隆市安樂區大武崙段內寮小段486-78地號,其他,基隆市安樂區基金三路30號,基隆市安樂區大武崙段內寮小段486-78地號,"18,134平方公尺",公告解除控制場址,鉛,-無資料-,121.70062997025,25.151069298053
(C10006)基隆市安樂區大武崙段內寮小段486-54地號,其他,基隆市安樂區基金三路30號,基隆市安樂區大武崙段內寮小段486-54地號,655平方公尺,公告解除控制場址,鉛,-無資料-,121.70003533614,25.151153359717
(C10007)基隆市安樂區大武崙段內寮小段486-82地號,其他,基隆市安樂區基金三路30號,基隆市安樂區大武崙段內寮小段486-82地號,716平方公尺,公告解除控制場址,鉛,-無資料-,121.69214871221,25.152670981489
(C10008)台灣肥料股份有限公司基隆二廠,工廠,基隆市東明路與六合街交叉口,基隆市信義區田寮段2號及16號,"27,757平方公尺",公告解除控制場址,砷;銅;鉛;汞,-無資料-,121.75847615475,25.127213018344
(C10018)中國電子股份有限公司六堵總廠第二廠,工廠,基隆市七堵區工建西路11號,基隆市七堵區工建段八九四地號,"6,763平方公尺",公告解除控制場址,鉻:439(mg/Kg),三氯乙烯:0.079(mg/L),121.70258243908,25.095322437495
(C10038)北寧路加油站,加油站,基隆市中正區北寧路三七號,基隆市中正區祥豐段二九九地號;基隆市中正區祥豐段三○○之一四地號,"1,871平方公尺",公告解除控制場址,總石油碳氫化合物:3450(mg/Kg),總石油碳氫化合物:25.79(mg/L),121.77373050991,25.151247109605
(C10039)泉益加油站,加油站,基隆市安樂區麥金路120號,基隆市安樂區麥金段148地號,936平方公尺,公告解除控制場址,總石油碳氫化合物,苯;柴油總碳氫化合物(TPHd),121.72585342676,25.117617364015
(C10053)元璋玻璃股份有限公司五廠(舊大宇鋼鐵股份有限公司大武崙廠),工廠,基隆市安樂區武訓街69號,基隆市安樂區大武崙段武崙小段91地號,"3,962平方公尺",公告解除控制場址,銅;總石油碳氫化合物,-無資料-,121.69794710041,25.150215299516
(C10084)台灣中油股份有限公司油品行銷事業部基隆營業處-石門供油中心(八堵庫區),儲槽,基隆市七堵區八德路一七巷二九號,基隆市七堵區新八堵段六八九地號,"6,567平方公尺",公告為控制場址,總石油碳氫化合物:1400(mg/Kg),-無資料-,121.72433386241,25.107107431054
(C10085)台灣中油股份有限公司油品行銷事業部基隆營業處-基隆供油服務中心,儲槽,基隆市中山區中山三路一號,基隆市中山區協和段二○○地號;基隆市中山區協和段一九二地號,"3,350平方公尺",公告解除控制場址,總石油碳氫化合物:1580(mg/Kg),-無資料-,121.74282672436,25.143424833818
(C10088)八斗子漁船加油站,儲槽,基隆市中正區漁港二街四巷四○三號,基隆市中正區正隆段二之三八地號,"5,053平方公尺",公告為控制場址,總石油碳氫化合物:3760(mg/Kg),-無資料-,121.79411003585,25.146201118616
(C10096)興業金屬股份有限公司,工廠,基隆市安樂區基金三路三○號,基隆市安樂區武訓段○一○八地號;基隆市安樂區武訓段○一一二地號,"1,715平方公尺",公告為控制場址,砷:684(mg/Kg);鎘:25.9(mg/Kg);鉛:21900(mg/Kg),-無資料-,121.69964280856,25.150153132428
