場址名稱,場址種類,場址地址,場址地號,場址面積,場址列管狀態,土壤污染物,地下水污染物,經度,緯度
(J00008)新竹縣峨眉鄉富興段430-5、432-2、433、433-1、433-2、436-2、437、661、663-3及663-4地號等10筆土地,其他,新竹縣峨眉鄉富興段430-5、432-2、433、433-1、433-2、436-2、437、661、663-3及663-4地號等10筆土地,新竹縣峨眉鄉富興段430-5、432-2、433、433-1、433-2、436-2、437、661、663-3及663-4地號等10筆土地,"27,318平方公尺",公告解除控制場址,總石油碳氫化合物:24900(mg/Kg),-無資料-,120.97886047885,24.698547691202
(J10008)員山加油站,加油站,新竹縣竹東鎮員山路428號,新竹縣竹東鎮下員段1201、1202、1203、1204、1205地號,"1,114平方公尺",公告解除控制場址,二甲苯:535(mg/Kg);總石油碳氫化合物:1800(mg/Kg),苯:1.47(mg/L);萘:0.404(mg/L),121.04019229415,24.786275605179
(J10010)台灣中華化學工業股份有限公司竹北廠,工廠,新竹縣竹北市新庄里中正西路2079號,新竹縣竹北市豐田段0600~0601、0618~0626、0639~0640共13筆地號地號,"9,404平方公尺",公告解除控制場址,甲苯:2070(mg/Kg);二甲苯:1140(mg/Kg);乙苯:7460(mg/Kg),總酚:1.16(mg/L),120.95122157694,24.841293378371
(J10012)湖口鄉三元段336、337、344、345地號等4筆土地,加油站,新竹縣湖口鄉八德路二段386號,新竹縣湖口鄉三元段336、337、344、345地號,"1,925平方公尺",公告解除控制場址,-無資料-,苯:0.425(mg/L),121.06681659367,24.88006401414
(J10013)新竹縣寶山鄉新竹科學工業園區二、三路地下水污染場址,其他,寶山鄉雙溪段大崎小段14、14-19等2筆地號及園區段432、432-1、433、433-1、434、435、436、437、438、438-1、439-1、、440、440-1、441、441-1、442、443、443-1、443-2、444、445、446、447、448、449、450、451、452、453、453-1、454、454-1、793、794等34筆地號,寶山鄉雙溪段大崎小段14、14-19等2筆地號及園區段432、432-1、433、433-1、434、435、436、437、438、438-1、439-1、、440、440-1、441、441-1、442、443、443-1、443-2、444、445、446、447、448、449、450、451、452、453、453-1、454、454-1、793、794等34筆地號,"2,371平方公尺",公告解除控制場址,-無資料-,三氯乙烯:0.109(mg/L),121.0106601145,24.773053650052
(J10015)新竹縣湖口鄉竹九二段0059、0060、0061、0062、0065、0066、0077、0080、0081及0084地號(台亞湖口北上加油站),加油站,新竹縣湖口鄉鳳山村12鄰榮光路158之1號,新竹縣湖口鄉竹九二段○○五九地號;新竹縣湖口鄉竹九二段○○六○地號;新竹縣湖口鄉竹九二段○○六一地號;新竹縣湖口鄉竹九二段○○六二地號;新竹縣湖口鄉竹九二段○○六五地號;新竹縣湖口鄉竹九二段○○六六地號;新竹縣湖口鄉竹九二段○○七七地號;新竹縣湖口鄉竹九二段○○八○地號;新竹縣湖口鄉竹九二段○○八一地號;新竹縣湖口鄉竹九二段○○八四地號,"2,611平方公尺",公告解除整治場址,苯:6.92(mg/Kg);總石油碳氫化合物:3130(mg/Kg),苯:1.49(mg/L);甲基第三丁基醚:8.05(mg/L);總石油碳氫化合物:71.5(mg/L),121.01254800998,24.862698502842
(J10034)湖口鄉中勢段0008地號君朋加油站,加油站,新竹縣湖口鄉中勢村中平路一段280號,新竹縣湖口鄉中勢段0008地號,"1,005平方公尺",公告解除控制場址,總石油碳氫化合物:2300(mg/Kg),-無資料-,121.05366215125,24.900771702153
(J10038)竹東鎮明星段593之1及594之1地號(二重埔加油站),加油站,新竹縣竹東鎮明星路1號,竹東鎮明星段0593-0001及0594-0001地號,"2,347平方公尺",公告解除整治場址,苯:102(mg/Kg);甲苯:561(mg/Kg);二甲苯:826(mg/Kg);總石油碳氫化合物:7920(mg/Kg),苯:43(mg/L);甲苯:72.2(mg/L);萘:0.484(mg/L);總石油碳氫化合物:75.5(mg/L);總酚:0.309(mg/L),121.05122334496,24.771645827827
(J10041)竹東鎮明星段0597地號(統一精工竹東加油站),加油站,新竹縣竹東鎮中興路四段26號,新竹縣竹東鎮明星段0597地號;,919平方公尺,公告解除控制場址,-無資料-,萘:0.845(mg/L);總石油碳氫化合物:258(mg/L),121.04231433183,24.773662000188
(J10055)湖口鄉竹九段0368、0374、0375、0377、0378、0385、0386、0387及0389地號(台亞湖口南下加油站),加油站,新竹縣湖口鄉鳳山村國強街一巷八號,湖口鄉竹九段0368、0374、0375、0377、0378、0385、0386、0387及0389地號,"7,461平方公尺",公告解除控制場址,苯:5.49(mg/Kg);總石油碳氫化合物:12000(mg/Kg),萘:0.552(mg/L);柴油總碳氫化合物(TPHd):16.2(mg/L),121.00980647922,24.85807608952
(J10057)台灣田邊製藥股份有限公司新竹廠,工廠,新竹縣湖口鄉光復北路九七號,新竹縣湖口鄉中興段新興小段一三二地號;新竹縣湖口鄉中興段新興小段一三三地號;新竹縣湖口鄉中興段新興小段一三四地號,"21,290平方公尺",公告解除控制場址,-無資料-,氯仿:1.22(mg/L),121.01869398025,24.866769734432
(J10085)新竹縣湖口鄉建興段建興小段0028地號(華淵電機工業股份有限公司),工廠,新竹縣湖口鄉鳳山村中華路一八號,新竹縣湖口鄉建興段建興小段○○二八地號,"34,562平方公尺",公告為整治場址,四氯乙烯:28.2(mg/Kg);總石油碳氫化合物:6510(mg/Kg),"1,1-二氯乙烯:1.4(mg/L);順-1,2-二氯乙烯:2.81(mg/L);四氯乙烯:3.27(mg/L);三氯乙烯:13.1(mg/L);氯乙烯:1.58(mg/L);1,1,1-三氯乙烷:10.6(mg/L)",121.00896626934,24.870707079402
(J10092)新竹縣新豐鄉新豐段797、798、799地號,工廠,新竹縣新豐鄉新豐村紅毛29號,新竹縣新豐鄉新豐段797、798、799地號,"6,728平方公尺",公告為整治場址,-無資料-,"氟鹽:9.16(mg/L);總溶解固體物:10400(mg/L);氨氮:3.13(mg/L);硫酸鹽:1640(以SO42-計);總有機碳:1200(mg/L);2,4,6-三氯酚:0.301(mg/L);五氯酚:5.82(mg/L)",120.98066526071,24.914304784339
(J10097)中國化學製藥股份有限公司新豐工廠,工廠,新竹縣新豐鄉上坑村坑子口182-1號,新竹縣新豐鄉松柏段九二九地號,"15,900平方公尺",公告解除控制場址,-無資料-,三氯乙烯:0.0513(mg/L),120.97824489007,24.885015984336
(J10102)全興避震器股份有限公司,工廠,新竹縣湖口鄉鳳山村仁義路一○號,新竹縣湖口鄉建興段建興小段○○二七地號,"13,727平方公尺",公告為控制場址,鉻:1590(mg/Kg),-無資料-,121.00999535457,24.868774906421
(J10108)新竹縣關西鎮大旱坑段大東坑小段1-1地號,其他,新竹縣關西鎮東平里大東坑七八號,新竹縣關西鎮大旱坑段大東坑小段一之一地號,"9,992平方公尺",公告為整治場址,鎘:2420(mg/Kg);鎳:2370(mg/Kg),-無資料-,121.16710608161,24.828802682468
(J10115)精鈺金屬工業股份有限公司,工廠,新竹縣湖口鄉文化路二一號,新竹縣湖口鄉建興段建興小段一九地號,"1,649平方公尺",公告為控制場址,鉻:270(mg/Kg),氟鹽:72(mg/L),121.01334030452,24.868494760289
(J10117)新竹縣新豐鄉松柏段0936、0937、0938、0939及0940地號,工廠,新竹縣新豐鄉上坑村坑子口一八四號,新竹縣新豐鄉松柏段○九三六地號;新竹縣新豐鄉松柏段○九三七地號;新竹縣新豐鄉松柏段○九三八地號;新竹縣新豐鄉松柏段○九三九地號;新竹縣新豐鄉松柏段○九四○地號,"20,503平方公尺",公告為控制場址,-無資料-,三氯乙烯:0.0612(mg/L),120.97789882136,24.883047715532
(J10141)台燿科技股份有限公司,工廠,新竹縣竹北市泰和里博愛街八○三號,新竹縣竹北市台元段○○八三地號;新竹縣竹北市台元段○一二八地號;新竹縣竹北市台元段○一三一地號,"37,955平方公尺",公告為控制場址,砷:155(mg/Kg);銅:640(mg/Kg);鎳:475(mg/Kg),-無資料-,121.01863135782,24.845110234355
(J10142)旭德科技股份有限公司,工廠,新竹縣湖口鄉湖南村光復北路一○鄰八號,新竹縣湖口鄉中興段新興小段三地號,"8,315平方公尺",公告為控制場址,-無資料-,硝酸鹽氮(以氮計)(NitrateasN):185(mg/L);鉻:0.693(mg/L);鉛:0.379(mg/L),121.03823208434,24.876345288559
(J10213)南港輪胎股份有限公司新豐廠,工廠,新竹縣新豐鄉新興路三九九號,新竹縣新豐鄉忠信段○○○八地號;新竹縣新豐鄉忠信段○○一一地號;新竹縣新豐鄉忠信段○○一七地號;新竹縣新豐鄉忠信段○○一八地號;新竹縣新豐鄉忠信段○○一九地號;新竹縣新豐鄉忠信段○○五一地號;新竹縣新豐鄉忠信段○○五二地號;新竹縣新豐鄉忠信段○○五三地號;新竹縣新豐鄉忠信段○○八○地號;新竹縣新豐鄉忠信段○○八一地號;新竹縣新豐鄉忠信段○○八一之○○○二地號;新竹縣新豐鄉忠信段○○八三地號;新竹縣新豐鄉忠信段○○八四地號;新竹縣新豐鄉忠信段○○八四之○○○二地號;新竹縣新豐鄉忠信段○○八五地號;新竹縣新豐鄉忠信段○○八五之○○○一地號;新竹縣新豐鄉忠信段○○八六地號;新竹縣新豐鄉忠信段○○八六之○○○二地號;新竹縣新豐鄉忠信段○○八六之○○○四地號;新竹縣新豐鄉忠信段○○八七地號;新竹縣新豐鄉忠信段○○八八之○○○二地號;新竹縣新豐鄉忠信段○○八八之○○○三地號;新竹縣新豐鄉忠信段○三一五地號;新竹縣新豐鄉忠信段○三一七地號;新竹縣新豐鄉忠信段○三一八地號;新竹縣新豐鄉忠信段○三一九地號;新竹縣新豐鄉忠信段○三二○地號;新竹縣新豐鄉忠信段○三二一地號;新竹縣新豐鄉忠信段○三二二地號;新竹縣新豐鄉忠信段○三二三地號;新竹縣新豐鄉忠信段○三二四地號,"166,778平方公尺",公告為控制場址,總石油碳氫化合物:1410(mg/Kg),-無資料-,121.00528506543,24.878011339777
(J10259)中國製釉股份有限公司,工廠,新竹縣竹東鎮中興路四段一三六號,新竹縣竹東鎮明星段六四七地號;新竹縣竹東鎮明星段六四八地號;新竹縣竹東鎮明星段六六一地號;新竹縣竹東鎮明星段六六一之一地號;新竹縣竹東鎮明星段六六一之二地號;新竹縣竹東鎮明星段六六一之三地號;新竹縣竹東鎮明星段六六一之四地號;新竹縣竹東鎮明星段六六一之五地號;新竹縣竹東鎮明星段六六一之六地號;新竹縣竹東鎮明星段六六一之七地號;新竹縣竹東鎮明星段六六一之八地號;新竹縣竹東鎮明星段六六一之九地號;新竹縣竹東鎮明星段六六一之一○地號;新竹縣竹東鎮明星段六六一之一一地號;新竹縣竹東鎮明星段六六一之一二地號;新竹縣竹東鎮明星段六六一之一三地號;新竹縣竹東鎮明星段六六一之一七地號;新竹縣竹東鎮明星段六六一之二○地號;新竹縣竹東鎮明星段六六一之二一地號;新竹縣竹東鎮明星段六六一之二二地號;新竹縣竹東鎮明星段六六一之二三地號;新竹縣竹東鎮明星段六六七地號;新竹縣竹東鎮明星段六六七之一地號;新竹縣竹東鎮明星段六六八地號;新竹縣竹東鎮明星段六六九地號,"21,053平方公尺",公告為控制場址,鉛:2940(mg/Kg),-無資料-,121.04870255732,24.773759374152
